Date,State,Confirmed,Recovered,Deaths
30-Mar-20,andamanandnicobarislands,1,0,0
30-Mar-20,andhrapradesh,2,0,0
30-Mar-20,arunachalpradesh,0,0,0
30-Mar-20,assam,0,0,0
30-Mar-20,bihar,0,0,0
30-Mar-20,chandigarh,5,0,0
30-Mar-20,chhattisgarh,1,0,0
30-Mar-20,dadranagarhave,0,0,0
30-Mar-20,damananddiu,0,0,0
30-Mar-20,delhi,25,0,0
30-Mar-20,goa,0,0,0
30-Mar-20,gujarat,7,2,1
30-Mar-20,haryana,1,6,0
30-Mar-20,himachalpradesh,0,0,0
30-Mar-20,jammuandkashmir,11,0,0
30-Mar-20,jharkhand,0,0,0
30-Mar-20,karnataka,8,1,0
30-Mar-20,kerala,32,0,0
30-Mar-20,ladakh,0,0,0
30-Mar-20,lakshadweep,0,0,0
30-Mar-20,madhyapradesh,8,0,2
30-Mar-20,maharashtra,35,14,2
30-Mar-20,manipur,0,0,0
30-Mar-20,meghalaya,0,0,0
30-Mar-20,mizoram,0,0,0
30-Mar-20,nagaland,0,0,0
30-Mar-20,odisha,0,0,0
30-Mar-20,puducherry,0,0,0
30-Mar-20,punjab,3,0,2
30-Mar-20,rajasthan,20,0,0
30-Mar-20,sikkim,0,0,0
30-Mar-20,tamilnadu,17,0,0
30-Mar-20,telangana,7,13,5
30-Mar-20,total,208,42,13
30-Mar-20,tripura,0,0,0
30-Mar-20,uttarakhand,0,0,0
30-Mar-20,uttarpradesh,24,6,0
30-Mar-20,westbengal,1,0,1
31-Mar-20,andamanandnicobarislands,0,0,0
31-Mar-20,andhrapradesh,21,0,0
31-Mar-20,arunachalpradesh,0,0,0
31-Mar-20,assam,1,0,0
31-Mar-20,bihar,6,0,0
31-Mar-20,chandigarh,2,0,0
31-Mar-20,chhattisgarh,1,2,0
31-Mar-20,dadranagarhave,0,0,0
31-Mar-20,damananddiu,0,0,0
31-Mar-20,delhi,23,0,0
31-Mar-20,goa,0,0,0
31-Mar-20,gujarat,4,2,0
31-Mar-20,haryana,7,4,0
31-Mar-20,himachalpradesh,0,0,0
31-Mar-20,jammuandkashmir,6,0,1
31-Mar-20,jharkhand,1,0,0
31-Mar-20,karnataka,10,2,0
31-Mar-20,kerala,7,4,1
31-Mar-20,ladakh,0,0,0
31-Mar-20,lakshadweep,0,0,0
31-Mar-20,madhyapradesh,19,0,1
31-Mar-20,maharashtra,64,0,1
31-Mar-20,manipur,0,0,0
31-Mar-20,meghalaya,0,0,0
31-Mar-20,mizoram,0,0,0
31-Mar-20,nagaland,0,0,0
31-Mar-20,odisha,1,0,0
31-Mar-20,puducherry,0,0,0
31-Mar-20,punjab,1,0,1
31-Mar-20,rajasthan,14,0,0
31-Mar-20,sikkim,0,0,0
31-Mar-20,tamilnadu,57,2,0
31-Mar-20,telangana,20,0,0
31-Mar-20,total,288,19,7
31-Mar-20,tripura,0,0,0
31-Mar-20,uttarakhand,0,0,0
31-Mar-20,uttarpradesh,8,0,0
31-Mar-20,westbengal,15,3,2
01-Apr-20,andamanandnicobarislands,0,0,0
01-Apr-20,andhrapradesh,67,1,0
01-Apr-20,arunachalpradesh,0,0,0
01-Apr-20,assam,15,0,0
01-Apr-20,bihar,3,0,0
01-Apr-20,chandigarh,2,0,0
01-Apr-20,chhattisgarh,0,0,0
01-Apr-20,dadranagarhave,0,0,0
01-Apr-20,damananddiu,0,0,0
01-Apr-20,delhi,32,0,0
01-Apr-20,goa,0,0,0
01-Apr-20,gujarat,13,0,0
01-Apr-20,haryana,0,3,0
01-Apr-20,himachalpradesh,0,0,0
01-Apr-20,jammuandkashmir,7,1,0
01-Apr-20,jharkhand,0,0,0
01-Apr-20,karnataka,9,1,0
01-Apr-20,kerala,24,2,0
01-Apr-20,ladakh,0,0,0
01-Apr-20,lakshadweep,0,0,0
01-Apr-20,madhyapradesh,32,0,1
01-Apr-20,maharashtra,33,0,5
01-Apr-20,manipur,0,0,0
01-Apr-20,meghalaya,0,0,0
01-Apr-20,mizoram,0,0,0
01-Apr-20,nagaland,0,0,0
01-Apr-20,odisha,1,1,0
01-Apr-20,puducherry,2,0,0
01-Apr-20,punjab,4,0,0
01-Apr-20,rajasthan,27,0,0
01-Apr-20,sikkim,0,0,0
01-Apr-20,tamilnadu,110,0,0
01-Apr-20,telangana,30,0,3
01-Apr-20,total,424,9,13
01-Apr-20,tripura,0,0,0
01-Apr-20,uttarakhand,0,0,0
01-Apr-20,uttarpradesh,13,0,2
01-Apr-20,westbengal,0,0,2
02-Apr-20,andamanandnicobarislands,0,0,0
02-Apr-20,andhrapradesh,38,0,0
02-Apr-20,arunachalpradesh,1,0,0
02-Apr-20,assam,0,0,0
02-Apr-20,bihar,5,3,0
02-Apr-20,chandigarh,1,0,0
02-Apr-20,chhattisgarh,0,1,0
02-Apr-20,dadranagarhave,0,0,0
02-Apr-20,damananddiu,0,0,0
02-Apr-20,delhi,141,2,2
02-Apr-20,goa,0,0,0
02-Apr-20,gujarat,1,5,1
02-Apr-20,haryana,6,0,0
02-Apr-20,himachalpradesh,3,0,0
02-Apr-20,jammuandkashmir,8,1,0
02-Apr-20,jharkhand,1,0,0
02-Apr-20,karnataka,14,2,0
02-Apr-20,kerala,21,2,0
02-Apr-20,ladakh,0,0,0
02-Apr-20,lakshadweep,0,0,0
02-Apr-20,madhyapradesh,9,0,2
02-Apr-20,maharashtra,88,3,5
02-Apr-20,manipur,1,0,0
02-Apr-20,meghalaya,0,0,0
02-Apr-20,mizoram,0,0,0
02-Apr-20,nagaland,0,0,0
02-Apr-20,odisha,0,0,0
02-Apr-20,puducherry,2,0,0
02-Apr-20,punjab,1,0,1
02-Apr-20,rajasthan,13,0,0
02-Apr-20,sikkim,0,0,0
02-Apr-20,tamilnadu,75,0,0
02-Apr-20,telangana,27,3,0
02-Apr-20,total,486,22,11
02-Apr-20,tripura,0,0,0
02-Apr-20,uttarakhand,3,0,0
02-Apr-20,uttarpradesh,11,0,0
02-Apr-20,westbengal,16,0,0
03-Apr-20,andamanandnicobarislands,0,0,0
03-Apr-20,andhrapradesh,0,0,0
03-Apr-20,arunachalpradesh,0,0,0
03-Apr-20,assam,0,0,0
03-Apr-20,bihar,0,0,0
03-Apr-20,chandigarh,0,0,0
03-Apr-20,chhattisgarh,0,0,0
03-Apr-20,dadranagarhave,0,0,0
03-Apr-20,damananddiu,0,0,0
03-Apr-20,delhi,0,0,0
03-Apr-20,goa,1,0,0
03-Apr-20,gujarat,0,0,0
03-Apr-20,haryana,0,0,0
03-Apr-20,himachalpradesh,0,0,0
03-Apr-20,jammuandkashmir,0,0,0
03-Apr-20,jharkhand,0,0,0
03-Apr-20,karnataka,0,0,0
03-Apr-20,kerala,0,0,0
03-Apr-20,ladakh,0,0,0
03-Apr-20,lakshadweep,0,0,0
03-Apr-20,madhyapradesh,0,0,0
03-Apr-20,maharashtra,0,0,0
03-Apr-20,manipur,0,0,0
03-Apr-20,meghalaya,0,0,0
03-Apr-20,mizoram,0,0,0
03-Apr-20,nagaland,0,0,0
03-Apr-20,odisha,0,1,0
03-Apr-20,puducherry,0,0,0
03-Apr-20,punjab,0,0,0
03-Apr-20,rajasthan,21,0,0
03-Apr-20,sikkim,0,0,0
03-Apr-20,tamilnadu,0,0,0
03-Apr-20,telangana,0,0,0
03-Apr-20,total,22,1,0
03-Apr-20,tripura,0,0,0
03-Apr-20,uttarakhand,0,0,0
03-Apr-20,uttarpradesh,0,0,0
03-Apr-20,westbengal,0,0,0
